sample_id	sex	site	population
306113	M	Zoo	Zoo
306114	M	Zoo	Zoo
306115	M	Zoo	Zoo
306116	M	Zoo	Zoo
306117	M	Zoo	Zoo
306118	M	Zoo	Zoo
306119	M	Zoo	Zoo
306120	M	Zoo	Zoo
306121	M	Zoo	Zoo
CHK001	F	Chennek	North
CHK002	F	Chennek	North
CHK003	M	Chennek	North
CHK004	M	Chennek	North
CHK005	M	Chennek	North
ERR12892801	UNK	Arsi	South
ERR12892802	UNK	Arsi	South
FRZ000	F	Zoo	Zoo
FRZ001	M	Zoo	Zoo
FRZ002	M	Zoo	Zoo
FRZ003	M	Zoo	Zoo
FRZ004	F	Zoo	Zoo
FRZ005	F	Zoo	Zoo
FRZ006	F	Zoo	Zoo
FRZ007	F	Zoo	Zoo
FRZ008	M	Zoo	Zoo
FRZ009	F	Zoo	Zoo
FRZ010	F	Zoo	Zoo
FRZ011	M	Zoo	Zoo
FRZ012	M	Zoo	Zoo
FRZ013	F	Zoo	Zoo
FRZ014	F	Zoo	Zoo
FRZ015	F	Zoo	Zoo
FRZ016	M	Zoo	Zoo
GUA001	M	Guassa	Central
GUA002	M	Guassa	Central
GUA003	M	Guassa	Central
LID_1074575	UNK	Arsi	South
LID_1074577	UNK	Arsi	South
LID_1074578	UNK	Arsi	South
LID_1074771	UNK	Arsi	South
LID_1074772	UNK	Arsi	South
LID_1074773	UNK	Arsi	South
LID_1074774	UNK	Arsi	South
LID_1074775	UNK	Arsi	South
LID_1074777	UNK	Arsi	South
LID_1074778	UNK	Arsi	South
LID_1074779	UNK	Arsi	South
LID_1074780	UNK	Arsi	South
LID_1074781	UNK	Arsi	South
LID_1074782	UNK	Arsi	South
LID_1074783	UNK	Arsi	South
LID_1074784	UNK	Arsi	South
LID_1074785	UNK	Arsi	South
LID_1074786	UNK	Arsi	South
LID_1074787	UNK	Arsi	South
LID_1074788	UNK	Arsi	South
LID_1074789	UNK	Arsi	South
LID_1074790	F	Zoo	Zoo
LID_108514	M	Sankaber	North
LID_108563	M	Sankaber	North
LID_108564	F	Sankaber	North
LID_108565	M	Sankaber	North
LID_108566	M	Sankaber	North
LID_108567	M	Sankaber	North
LID_108568	F	Sankaber	North
LID_108569	F	Sankaber	North
LID_108570	F	Sankaber	North
LID_108571	F	Sankaber	North
LID_108572	F	Sankaber	North
LID_108573	F	Sankaber	North
LID_108574	F	Sankaber	North
LID_108575	F	Sankaber	North
LID_108576	M	Sankaber	North
LID_108577	F	Sankaber	North
LID_108578	F	Sankaber	North
LID_108579	M	Sankaber	North
LID_108580	F	Sankaber	North
LID_108581	F	Sankaber	North
LID_108582	F	Sankaber	North
LID_108583	F	Chennek	North
LID_108584	M	Chennek	North
LID_108585	M	Chennek	North
LID_108586	M	Chennek	North
LID_108587	M	Chennek	North
LID_108588	M	Chennek	North
LID_108589	M	Chennek	North
LID_108590	M	Chennek	North
LID_108591	F	Chennek	North
LID_108592	F	Chennek	North
LID_108593	M	Sankaber	North
LID_108594	M	Sankaber	North
LID_108595	M	Sankaber	North
LID_108596	M	Sankaber	North
LID_108597	M	Gich	North
LID_108598	M	Gich	North
LID_108599	M	Gich	North
LID_108600	M	Gich	North
LID_108604	M	Sankaber	North
LID_108605	M	Sankaber	North
LID_108606	F	Sankaber	North
LID_108607	F	Sankaber	North
LID_108608	F	Sankaber	North
LID_108609	F	Sankaber	North
LID_108610	M	Sankaber	North
SKR000	M	Sankaber	North
SKR001	M	Sankaber	North
SKR002	M	Sankaber	North
SKR003	F	Sankaber	North
SKR004	F	Sankaber	North
SKR005	F	Sankaber	North
SKR006	M	Sankaber	North
SKR007	M	Sankaber	North
SKR008	F	Sankaber	North
SKR009	M	Sankaber	North
SKR010	M	Sankaber	North
SKR011	M	Sankaber	North
SKR012	F	Sankaber	North
SKR013	M	Sankaber	North
SKR014	M	Sankaber	North
SKR015	F	Sankaber	North
SKR016	F	Sankaber	North
SKR017	M	Sankaber	North
SKR018	M	Sankaber	North
SKR019	F	Sankaber	North
SKR020	F	Sankaber	North
SKR021	M	Sankaber	North
SKR022	F	Sankaber	North
SKR023	F	Sankaber	North
SKR024	F	Sankaber	North
SKR025	F	Sankaber	North
SKR026	F	Sankaber	North
SKR027	M	Sankaber	North
SKR028	F	Sankaber	North
SKR029	F	Sankaber	North
SKR030	F	Sankaber	North
SKR031	F	Sankaber	North
SKR032	M	Sankaber	North
SKR033	F	Sankaber	North
SKR034	F	Sankaber	North
SKR035	F	Sankaber	North
SKR036	F	Sankaber	North
SKR037	M	Sankaber	North
SKR038	M	Sankaber	North
SKR039	F	Sankaber	North
SKR040	M	Sankaber	North
SKR041	M	Sankaber	North
SKR042	M	Sankaber	North
SKR043	M	Sankaber	North
SKR044	M	Sankaber	North
