animal_id	sex	site	population	ancestry	sample_type	F	HET_ADJ
1	306113	M	Zoo	Zoo	Central/Zoo	zoo blood	0.43359	0.0004455528
2	306114	M	Zoo	Zoo	Central/Zoo	zoo blood	0.47705	0.0004113459
3	306115	M	Zoo	Zoo	Central/Zoo	zoo blood	0.46202	0.0004231332
4	306116	M	Zoo	Zoo	Central/Zoo	zoo blood	0.43052	0.0004479657
5	306117	M	Zoo	Zoo	Central/Zoo	zoo blood	0.46382	0.00042177975
6	306118	M	Zoo	Zoo	Central/Zoo	zoo blood	0.42924	0.00044894955
7	306119	M	Zoo	Zoo	Central/Zoo	zoo blood	0.48246	0.00040706085
8	306120	M	Zoo	Zoo	Central/Zoo	zoo blood	0.45992	0.0004247943
9	306121	M	Zoo	Zoo	Central/Zoo	zoo blood	0.41482	0.0004603305
10	CHK001	F	Chennek	North	North	wild blood	0.26141	0.00058106475
11	CHK002	F	Chennek	North	North	wild blood	0.37357	0.00049282065
12	CHK003	M	Chennek	North	North	wild blood	0.34126	0.00051822225
13	CHK004	M	Chennek	North	North	wild blood	0.32995	0.00052712625
14	CHK005	M	Chennek	North	North	wild blood	0.437	0.0004429005
15	ERR12892801	UNK	Arsi	South	South	wild blood	0.67706	0.0002540517
16	ERR12892802	UNK	Arsi	South	South	wild blood	0.63249	0.00028915425
17	FRZ000	F	Zoo	Zoo	Central/Zoo	zoo blood	0.29527	0.000554484
18	FRZ001	M	Zoo	Zoo	Central/Zoo	zoo blood	0.49183	0.00039970665
19	FRZ002	M	Zoo	Zoo	Central/Zoo	zoo blood	0.12181	0.0006907362
20	FRZ003	M	Zoo	Zoo	Central/Zoo	zoo blood	0.51033	0.00038514735
21	FRZ004	F	Zoo	Zoo	Central/Zoo	zoo blood	0.4751	0.00041291145
22	FRZ005	F	Zoo	Zoo	Central/Zoo	zoo blood	0.52071	0.0003769878
23	FRZ006	F	Zoo	Zoo	Central/Zoo	zoo blood	0.55239	0.00035203245
24	FRZ007	F	Zoo	Zoo	Central/Zoo	zoo blood	0.50196	0.00039174975
25	FRZ008	M	Zoo	Zoo	Central/Zoo	zoo blood	0.91121	6.983466e-05
26	FRZ009	F	Zoo	Zoo	Central/Zoo	zoo blood	0.53556	0.00036527295
27	FRZ010	F	Zoo	Zoo	Central/Zoo	zoo blood	0.3992	0.00047263125
28	FRZ011	M	Zoo	Zoo	Central/Zoo	zoo blood	0.46597	0.00042008295
29	FRZ012	M	Zoo	Zoo	Central/Zoo	zoo blood	0.49586	0.00039654825
30	FRZ013	F	Zoo	Zoo	Central/Zoo	zoo blood	0.55133	0.00035286825
31	FRZ014	F	Zoo	Zoo	Central/Zoo	zoo blood	0.38997	0.00047987415
32	FRZ015	F	Zoo	Zoo	Central/Zoo	zoo blood	0.23237	0.0006038508
33	FRZ016	M	Zoo	Zoo	Central/Zoo	zoo blood	0.50237	0.00039142005
34	GUA001	M	Guassa	Central	Central/Zoo	wild blood	0.38371	0.0004847808
